"Summary","Slice ID","Issue Type","Parent (Epic)","Sprint","Assignee","Team","Labels","Story Points","Description"
"slice-01-auth-login","slice-01","Story","Deployed Walking Skeleton & CD Pipeline","Sprint 1","Tahir","Platform — Tahir","module-auth;needs-human-review;secrets;ui-facing;owner-d","5","WHAT TO BUILD:
- Mock Auth Service (FastAPI) pre-seeded with test users incl. one admin per role pack
- AuthAdapter.authenticate(email, password) — only code that knows it's a mock
- POST /api/auth/login — validates via adapter, upserts users table, issues signed JWT
- JWT helpers: issue_token(user), verify_token(token)
- Login page (Next.js): email/password, Log in button, 'contact admin' text, VARIO branding

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Correct creds -> 200 with {user_id,email,full_name,role,external_id,token}
[] Wrong creds -> 401 with error envelope
[] First-ever login creates exactly one users row
[] Repeat login updates the same users row (no duplicate)
[] JWT decodes to {user_id, role, email}; rejected by verify_token after JWT_EXPIRY_MINUTES
[] Mock Auth Service pre-seeded with >=1 end_user and one admin per role pack
[] Login page shows loading state and redirects to Home on success
[] Invalid creds shows 'Invalid email or password'; no account-locked state

OUT OF SCOPE:
- Registration, email verification, password reset, account lockout
- Real identity-provider integration (mock only)
- Protected-route JWT middleware and rate limiting (slice-03)
- Sessions, conversations, chat

MOCKUP / REFERENCE: docs/design/login.html

HUMAN REVIEW REQUIRED: Yes"
"slice-02-db-schema","slice-02","Story","Deployed Walking Skeleton & CD Pipeline","Sprint 1","Tahir","Platform — Tahir","module-db-schema;needs-human-review;secrets;owner-d","5","WHAT TO BUILD:
- SQLAlchemy models for all 9 entities
- Alembic migration (up/down)
- DB session/engine wiring reading DATABASE_URL
- Seed-runner scaffold (empty hooks for role-pack slices)

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Migration up creates all 9 tables with correct columns/types; down drops cleanly
[] Migration succeeds against a Neon database via DATABASE_URL
[] FKs enforced: conversations->users, messages->conversations, sessions->conversations (1:1), training_phrases->intents, response_variants->response_templates, audit_log->users
[] JSONB columns exist for messages.entities, sessions.slots, audit_log.details; response_templates.available_variables is a string array
[] Enum/check constraints: messages.sender in {user,bot}; intents.intent_type in {dynamic_workflow,static_faq}; role_pack in {hr,it,admissions}
[] Backend connects via DATABASE_URL with no hardcoded credentials
[] No auth_tokens table (removed per ADR-001)

OUT OF SCOPE:
- Seeding role-pack intents/phrases/templates (each role owner's own slice)
- Business logic, CRUD endpoints beyond the migration
- Provisioning the Neon instance itself (slice-30)

MOCKUP / REFERENCE: No UI surface

HUMAN REVIEW REQUIRED: Yes"
"slice-27-docker-compose","slice-27","Story","Deployed Walking Skeleton & CD Pipeline","Sprint 1","Tahir","Platform — Tahir","module-infra-docker;light-review;infra;owner-d","5","WHAT TO BUILD:
- docker-compose.yml: frontend, gateway, rasa-hr/it/admissions, mock-auth/hrms/itsm/admissions, postgres
- Dockerfile for frontend and backend at minimum; stub images ok for Rasa/mocks
- Env wiring via .env matching .env.example
- README 'Local development' section documenting docker compose up and ports

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] docker compose up starts and keeps Postgres, backend, frontend healthy
[] Backend connects to postgres via DATABASE_URL; frontend reaches backend via NEXT_PUBLIC_API_BASE_URL
[] All stack services (3 Rasa + 4 mocks) are declared (stub images allowed)
[] No secret values hardcoded — everything from .env (gitignored)
[] README documents boot steps and ports

OUT OF SCOPE:
- Production orchestration on OCI (slice-29)
- CI/CD (slice-28)
- Kubernetes / non-Compose orchestrator

MOCKUP / REFERENCE: No UI surface

HUMAN REVIEW REQUIRED: Light"
"slice-28-cicd","slice-28","Story","Deployed Walking Skeleton & CD Pipeline","Sprint 1","Rohith","IT — Rohith","module-infra-cicd;needs-human-review;secrets;infra;owner-b","5","WHAT TO BUILD:
- ci.yml (on PR): install, lint, pytest, Jest/RTL, build both
- deploy.yml (on push to main): deploy backend to OCI target, frontend to Vercel
- Branch protection on main: require CI pass + PR review
- All credentials from GitHub Actions secrets, nothing committed

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] PR opened/updated -> CI runs pytest+Jest+lint+build; failing check blocks merge
[] main branch protection requires passing CI + >=1 review
[] Merge to main triggers deploy workflow -> frontend to Vercel, backend to OCI
[] A trivial visible change merged to main appears on the live production URL
[] Every credential/token read from GitHub Actions secrets; none in repo

OUT OF SCOPE:
- Provisioning the deploy targets themselves (slice-29, slice-30)
- SonarQube/static-analysis gate (note as follow-up only)
- Coverage thresholds, blue/green or canary deploys

MOCKUP / REFERENCE: No UI surface

HUMAN REVIEW REQUIRED: Yes"
"slice-29-oci-cloudflare","slice-29","Story","Deployed Walking Skeleton & CD Pipeline","Sprint 1","Kishor","HR — Kishor","module-infra-hosting;needs-human-review;secrets;infra;owner-a","5","WHAT TO BUILD:
- Provisioned OCI Ampere A1 VM (Always-Free) with Docker installed
- Backend stack running on it via compose prod profile
- Cloudflare Tunnel mapping a stable public hostname -> backend, HTTPS termination
- Persistence across reboot via systemd units / restart policies
- docs/deploy-backend.md documenting host, tunnel hostname, and how CI deploys

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Backend reachable at a stable HTTPS URL via Cloudflare Tunnel
[] Instance reboot -> backend stack and tunnel restart automatically
[] No public inbound ports beyond what the tunnel requires
[] CI/CD deploy workflow can push a new build using only GitHub Actions secrets
[] Deploy docs let a teammate find host/tunnel details with no secrets in the doc

OUT OF SCOPE:
- Frontend hosting (Vercel) and database (Neon) — slice-30
- The CI/CD workflows themselves (slice-28)
- Autoscaling, multi-node, load balancing

MOCKUP / REFERENCE: No UI surface

HUMAN REVIEW REQUIRED: Yes"
"slice-30-vercel-neon","slice-30","Story","Deployed Walking Skeleton & CD Pipeline","Sprint 1","Mitesh","Admissions — Mitesh","module-infra-hosting;needs-human-review;secrets;infra;owner-c","5","WHAT TO BUILD:
- Vercel project linked to repo, NEXT_PUBLIC_API_BASE_URL pointing at Cloudflare-tunneled backend
- Neon project with separate dev and prod databases/branches + connection strings
- Env wiring: DATABASE_URL to backend/migrations; Vercel env vars for frontend
- Confirm .env.example lists every variable introduced

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Frontend deployed on Vercel loads and calls backend over HTTPS
[] Neon has a dev and a prod database, each with a connection string
[] Connection strings provided to backend/CI only as secrets, never committed
[] Merge to main auto-deploys frontend to Vercel (via slice-28)
[] .env.example accurately reflects every required env var

OUT OF SCOPE:
- Backend hosting / Cloudflare Tunnel (slice-29)
- Database schema and migrations (slice-02)
- CI/CD workflow definitions (slice-28)

MOCKUP / REFERENCE: No UI surface

HUMAN REVIEW REQUIRED: Yes"
"slice-03-gateway-envelope","slice-03","Story","Role Packs & Read Flows","Sprint 2","Tahir","Platform — Tahir","module-gateway;needs-human-review;secrets;owner-d","5","WHAT TO BUILD:
- Envelope wrapper: every response shaped {status,data,error}
- JWT auth middleware verifying Bearer token via verify_token; attaches user context; 401 on invalid
- Error handling mapping exceptions to documented HTTP codes
- Request validation via Pydantic -> 422 on malformed bodies
- Rate limiting per endpoint group with 429 + X-RateLimit-* headers
- Integrate POST /api/auth/login under envelope + rate limiting
- /health endpoint

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] Any endpoint response body is {status,data,error}
[] Protected route with no/invalid JWT -> 401 in envelope form
[] Valid JWT -> user_id, role, email available to handler
[] Malformed request body -> 422 in envelope form
[] Over rate limit -> 429 with X-RateLimit-Limit/Remaining/Reset headers
[] /api/auth/login requires no auth, limited to 10/min per IP
[] Gateway contains no business logic — only validation, auth, rate limiting, envelope, dispatch

OUT OF SCOPE:
- Chat, conversation, admin business logic (own slices)
- Role-based authorization on admin routes (Sprint 3)
- TTS / talk mode

MOCKUP / REFERENCE: No UI surface

HUMAN REVIEW REQUIRED: Yes"
"slice-04-conversation-store","slice-04","Story","Role Packs & Read Flows","Sprint 2","Tahir","Platform — Tahir","module-conversation-store;ui-facing;owner-d","5","WHAT TO BUILD:
- GET /api/conversations — caller's conversations, most recent first, with filters
- POST /api/conversations — create with role_pack (required), optional title
- GET /api/conversations/:id/messages — owner-only, paginated
- Home page: sidebar list, New Conversation button, empty/loading states
- New Conversation page/modal: 3 role-pack cards (HR/IT/Admissions)

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] GET /api/conversations returns only caller's own conversations, most recent first, with preview+timestamp
[] role_pack/status query params filter the list
[] POST with valid role_pack -> 201; invalid role_pack -> 422
[] No title given -> placeholder title auto-generated
[] GET messages as owner -> 200; non-owner -> 403; missing id -> 404
[] Home page renders loaded/empty/loading states
[] Clicking a role-pack card creates a conversation and navigates to Chat View

OUT OF SCOPE:
- Sending messages / chat pipeline / bot message rendering (slice-05)
- Admin-wide conversation logs (slice-11)
- Talk mode

MOCKUP / REFERENCE: docs/design/home-conversation-list.html, docs/design/new-conversation.html

HUMAN REVIEW REQUIRED: No"
"slice-05-chat-core","slice-05","Story","Role Packs & Read Flows","Sprint 2","Tahir","Platform — Tahir","module-session-manager;module-dialogue-router;module-response-renderer;ui-facing;owner-d","5","WHAT TO BUILD:
- session-manager: load-or-create sessions row (current_form, current_step, slots, expires_at); Postgres authoritative
- dialogue-router: reads role_pack, forwards to correct RASA_*_URL, no NLU logic itself
- response-renderer: given template_key + slots, picks a random variant and substitutes placeholders
- POST /api/chat (chat mode): persist user msg -> route -> Rasa -> render -> persist bot msg -> update session -> return response
- Below-confidence-threshold -> clarification prompt, not a workflow (FR-2); log every classification/routing decision (FR-5)
- Chat View shell: header, scrollable thread, input bar; states active/loading/empty/error
- Shared message component library: plain text, data card, slot prompt, confirmation, result, not-found, FAQ answer, error, list

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] POST /api/chat (chat mode) returns 200 with response_text, intent, confidence, entities, session{current_form,current_step,slots}
[] Non-owner -> 403; missing conversation -> 404; missing message -> 422
[] Multi-turn exchange persists session slots across turns in Postgres (FR-4)
[] Below-threshold confidence -> clarification prompt instead of a workflow (FR-2)
[] Any message -> classification+routing decision written to the log (FR-5)
[] Router forwards to the matching Rasa instance per conversation's role_pack, and no other
[] Renderer returns one variant at random with slot values substituted, given a template_key with variants
[] All 9 bot message types render from props in Storybook
[] Chat View renders active, loading, empty, and error states

OUT OF SCOPE:
- Talk mode / TTS (slice-06) — keep mode field, don't hardcode chat-only
- Role-specific card content (built in read-flow slices)
- Admin console

MOCKUP / REFERENCE: docs/design/chat-view.html

HUMAN REVIEW REQUIRED: No"
"slice-12-hr-rasa","slice-12","Story","Role Packs & Read Flows","Sprint 2","Kishor","HR — Kishor","module-role-pack-runtime;owner-a","5","WHAT TO BUILD:
- Rasa project for HR (config.yml, domain.yml, nlu.yml, rules/stories, actions.py) at RASA_HR_URL
- Seed intents (role_pack=hr): check_leave_balance (dynamic_workflow) + placeholders for ask_leave_status, submit_leave_request, ask_policy_faq
- ~30-50 training phrases for check_leave_balance; a handful for others
- nlu_fallback policy for low-confidence utterances
- Custom action skeleton action_check_leave_balance returning template_key + slots
- response_templates seeded for leave-balance response with {total}/{casual}/{sick}/{earned} placeholders

ACCEPTANCE CRITERIA (convert to checklist in Jira):
[] HR Rasa service reachable at RASA_HR_URL on start
[] Variations of 'what's my leave balance' classify check_leave_balance with high confidence
[] Off-topic message fires nlu_fallback
[] DB contains HR dynamic-workflow intent(s) with training phrases and a leave-balance response template
[] action_check_leave_balance exists and returns a template_key + slots shape

OUT OF SCOPE:
- HRMS mock + adapter (slice-13)
- End-to-end leave-balance card + real adapter call (slice-14)
- Full guided leave-request form (slice-15) and policy FAQ content (slice-16)
- IT and Admissions role packs

MOCKUP / REFERENCE: No UI surface (Rasa runtime)

HUMAN REVIEW REQUIRED: No"
